title,grade,ccode,division,description,filename
Coordinator III - Attendance Enforcement,40,A449,Education Services,Licensed Administrator,ESD/A449.pdf
Coordinator III - Adult Education,40,A225,Education Services,Licensed Administrator,ESD/A225.pdf
"Coordinator III - Administrative Services, Adult Education",40,A732,Alternative Services,Professional-Technical,AS/A732.pdf
Director I - Educational Opportunities,43,A010,Education Services,Licensed Administrator,ESD/A010.pdf
Coordinator IV - Due Process,41,A460,Education Services,Licensed Administrator,ESD/A460.pdf
Director IV/Executive Director -  Alternative Services,45,A406,"College, Career, Equity, and School Choice",Licensed Administrator,CCESC/A406.pdf
Coordinator III - Student Adjudication,40,A561,Education Services,Professional-Technical,ESD/Coordinator_III_Student_Adjudication.pdf
Chief of Facilities,50,A072,Facilities Services,Professional-Technical,F/A072.pdf
Coordinator III - Project Manager,40,A514,Construction and Development,Professional-Technical,F/A514.pdf
"Coordinator III - Industrial Hygiene, Environmental Services",40,A713,Facilities Services,Professional-Technical,F/A713.pdf
"Coordinator III - Work Management, Maintenance",40,A584,Facilities Services,Professional-Technical,F/A584.pdf
Coordinator IV - Architecture,41,A544,Facilities Services,Professional-Technical,F/A544.pdf
Coordinator IV - Mechanical Systems And Equipment,41,A091,Facilities Services,Professional-Technical,F/A091.pdf
Coordinator IV - New Construction,41,A094,Facilities Services,Professional-Technical,F/A094.pdf
Director II - Environmental Services,43,A707,Facilities Services,Professional-Technical,F/A707.pdf
Director III - Facility Optimization,44,A368,Facilities Services,Professional-Technical,F/A368.pdf
Director III - Maintenance Facilities Management Services,44,A076,Facilities Services,Professional-Technical,F/A076.pdf
Director IV - Facilities Construction Management,45,A073,Facilities Services,Professional-Technical,F/A073.pdf
Director IV - Capital Program Office,45,A386,Facilities Services,Professional-Technical,F/A386.pdf
Director I - Office of the Board of School Trustees,42,A326,Office of the Deputy Superintendent,Professional-Technical,SP/A326.pdf
Coordinator III - Internal Audit,40,A450,Office of the Chief of Staff,Professional-Technical,OCS/A450.pdf
"Executive Manager/Director III -Affirmative Action, EEO/ADA & Title IX Coordinator",44,A005,Office of the Superintendent,Professional-Technical,SP/A005.pdf
Director II - Internal Audit Department,43,A351,Office of the Chief of Staff,Professional-Technical,OCS/A351.pdf
Assistant General Counsel,46,A248,Office of the General Counsel,Professional-Technical,OGC/A248.pdf
Deputy General Counsel,48,A620,Office of the General Counsel,Professional-Technical,OGC/A620.pdf
General Counsel,51,A247,Office of the General Counsel,Professional-Technical,OGC/A247.pdf
Senior Assistant General Counsel,47,A621,Office of the General Counsel,Professional-Technical,OGC/A621.pdf
Chief Financial Officer,52,A020,Business and Finance,Professional-Technical,BFD/A020.pdf
Coordinator I - Accounting,38,A518,Business and Finance,Professional-Technical,BFD/A518.pdf
"Coordinator I - Accounting, Treasury",38,A517,Business and Finance,Professional-Technical,BFD/A517.pdf
Coordinator I - Budget,38,A548,Business and Finance,Professional-Technical,BFD/A548.pdf
Coordinator I - Fleet Manager,38,A529,Operational Services Unit,Professional-Technical,OS/A529.pdf
Coordinator II - Accounting-Food Service,39,A725,Operations Support Unit,Professional-Technical,OSU/A725.pdf
Coordinator III - Benefits Processing Supervisor,40,A727,Business and Finance,Professional-Technical,BFD/A727.pdf
Coordinator II - Dietitian,39,A607,Operational Services Unit,Professional-Technical and/or Licensed Administrator,OSU/A607.pdf
Coordinator II - Geographic Information System,39,A728,Facilities Services,Professional-Technical,F/A728.pdf
Director I - Payroll Processing Supervisor,42,A726,Business and Finance,Professional-Technical,BFD/A726.pdf
Coordinator II - Real Property Management,39,A305,Facilities Services,Professional-Technical,F/A305.pdf
Coordinator II - Site Development Planner,39,A365,Facilities Services,Professional-Technical,F/A365.pdf
"Coordinator III - Administrative Assistant, Bond Administration",40,A550,Business and Finance,Professional-Technical,BFD/A550.pdf
Coordinator III - Senior Financial Analyst,40,A360,Business and Finance,Professional-Technical,BFD/A360.pdf
Coordinator IV - Cash and Investment Manager,41,A358,Business and Finance,Professional-Technical,BFD/A358.pdf
Coordinator IV- Facilities And Bond Fund Financial Management,41,A458,Business and Finance,Professional-Technical,BFD/A458.pdf
"Coordinator III - Geographic Information System (GIS), Demographics, Zoning, and GIS",40,A605,Facilities Services,Professional-Technical,F/A605.pdf
Coordinator III - Geographic Information System Real Property Management,40,A606,Facilities Services,Professional-Technical,F/A606.pdf
Coordinator III - Safety,40,A731,Operations Support Unit,Professional-Technical,OSU/Coordinator_III_Safety.pdf
Coordinator IV - School Accounting Manager,41,A023,Business and Finance,Professional-Technical,BFD/A023.pdf
"Coordinator III - Statistician, Demographics, Zoning, And Geographic Information System",40,A555,Operations Support Unit,Professional-Technical,OSU/A555.pdf
Coordinator IV - Accounting,41,A455,Business and Finance,Professional-Technical,BFD/A455.pdf
Coordinator IV - Transportation Operations,41,A255,Operations Support Unit,Professional-Technical,OSU/A255.pdf
Coordinator IV - Workers' Compensation Claims,41,A420,Business and Finance,Professional-Technical,BFD/A420.pdf
Coordinator IV - Demographics & Zoning,41,A286,Facilities Services,Professional-Technical,F/A286.pdf
Director I - Food Service Financial Management,42,A525,Operational Services Unit,Professional-Technical,OSU/A525.pdf
Director III - Payroll-Employee Benefits,44,A408,Business and Finance,Professional-Technical,BFD/A408.pdf
Coordinator IV - Purchasing And Warehousing,41,A434,Operational Support Unit,Professional-Technical,OSU/A434.pdf
Coordinator IV - Real Property Management,41,A604,Facilities Services ,Professional-Technical,F/A604.pdf
Coordinator IV - Property and Liability Claims,41,A419,Business and Finance,Professional-Technical,BFD/A419.pdf
Deputy Chief Financial Officer,48,A022,Business and Finance,Professional-Technical,BFD/A022.pdf
Director I - Purchasing And Warehousing,42,A210,Operational Support Unit,Professional-Technical,OSU/A210.pdf
Director II - Transportation,43,A082,Operational Services Unit,Professional-Technical,OSU/A082.pdf
Director I - Vehicle Maintenance,42,A258,Operational Services Unit,Professional-Technical,OS/A258.pdf
Director II - Budget Department,43,A024,Business and Finance,Professional-Technical,BFD/A024.pdf
"Director II - Demographics, Zoning, And Geographic Information System",43,A531,Operations Support Unit,Professional-Technical,F/A531.pdf
Director II - Facilities And Bond Fund Financial Management,43,A423,Business and Finance,Professional-Technical,BFD/A423.pdf
Director II - Real Property Management,43,A366,Facilities Services,Professional-Technical,F/A366.pdf
Director III - Risk & Environmental Services,44,A029,Business and Finance,Professional-Technical,BFD/A029.pdf
Director IV - Food Service,45,A594,Operational Services Unit,Professional-Technical,OSU/A594.pdf
Director IV - Transportation,45,A079,Operational Services Unit,Professional-Technical,OSU/A079.pdf
Coordinator II - Academic Support and Community Service Center,39,A592,Engagement,Licensed Administrator,CE/A592.pdf
Coordinator IV - Adapted Physical Education,41,A522,Student Services,Licensed Administrator,SSSD/A522.pdf
Coordinator II - Grants Fiscal Services,39,A511,Business and Finance,Professional-Technical,BFD/A511.pdf
Coordinator III - Compliance And Monitoring,40,A480,Student Services,Licensed Administrator,SSSD/A480.pdf
Coordinator IV - Equity And Diversity Education,41,A319,"College, Career, Equity, and School Choice ",Licensed Administrator,CCESC/A319.pdf
Coordinator IV - Grant Administrator,41,A185,Strategy Unit,Professional-Technical,SU/A185.pdf
Coordinator IV - Program Evaluator,40,A196,Strategy Unit,Professional-Technical,SU/A196.pdf
Coordinator III - Resource Management,40,A723,Student Services,Professional-Technical,SSSD/Coordinator_III_Resource_Management.pdf
Coordinator IV - Student Education Management System (SEMS),41,A466,Student Services,Professional-Technical ,
Coordinator III - Title I,40,A456,"College, Career, Equity, and School Choice ",Licensed Administrator,CCESC/A456.pdf
Coordinator IV - Title I Homeless Program - School Liaison,41,A425,"Assessment, Accountability, Research, and School Improvement",Licensed Administrator,AARSI/A425.pdf
Coordinator III - Title I Services,40,A271,"College, Career, Equity, and School Choice",Professional-Technical,CCESC/A271.pdf
Director I - Assistive Technology Services,42,A308,Student Services,Licensed Administrator ,SSSD/A308.pdf
Coordinator IV - English Language Program,41,A234,Academic Unit,Licensed Administrator,AU/A234.pdf
